EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,6,3,2,3,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,3,2,3,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,3,2,3,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,3,2,3,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,7,3,2,3,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
2,5,6,3,2,3,2,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
5,5,6,4,2,4,4,4,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
4,5,5,5,1,5,5,5,2,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
5,3,4,5,1,6,6,1,2,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
4,4,4,3,2,5,6,3,2,12,krista; kerge; meedia; haridus; lingvistika; keel; hajumine
2,4,4,3,1,5,6,3,2,12,krista; kerge; haridus; meedia; lingvistika; keel; hajumine
