EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,9,4,1,6,7,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,8,9,4,1,6,7,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,8,9,4,1,6,7,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,8,9,4,1,6,7,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,8,9,4,1,6,7,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,8,9,4,1,6,7,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
4,8,9,4,1,6,8,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
5,8,9,3,1,6,8,7,5,10,mõjutamine; hirm; küberkurjategija; pettur; strateegia; sihtrühm; fbi; enesekindlus; viirus; ahnus
6,8,9,6,1,6,9,6,6,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
3,8,8,4,2,6,9,7,6,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
3,7,9,5,2,7,9,7,6,10,sihtrühm; fbi; strateegia; viirus; mõjutamine; hirm; küberkurjategija; pettur; enesekindlus; ahnus
