EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
6,9,5,4,4,7,5,7,7,12,mendelejev; klaas; kõlar; braseodüüm; muldmetall; tabel; neodüüm; mikrofon; lantano
