EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,6,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,5,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,5,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
4,5,4,5,2,4,7,6,3,11,naisoboemängija; saksamaa; orkester; repertuaar; inglissarv; klassikatäht; sport; ingeli; oboe; muusikakeskkool
5,5,5,5,2,4,7,6,3,11,sport; naisoboemängija; saksamaa; repertuaar; klassikatäht; inglissarv; muusikakeskkool; ingeli; oboe; orkester
5,4,5,6,2,5,7,7,3,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
7,4,6,4,2,6,6,8,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
6,5,6,8,3,6,7,8,3,11,naisoboemängija; saksamaa; oboe; orkester; repertuaar; klassikatäht; sport; ingeli; inglissarv; muusikakeskkool
8,5,6,5,3,4,6,8,3,11,sport; naisoboemängija; saksamaa; orkester; repertuaar; klassikatäht; inglissarv; ingeli; oboe; muusikakeskkool
8,3,7,6,2,5,7,7,3,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
8,6,6,4,5,6,7,8,3,11,naisoboemängija; saksamaa; repertuaar; inglissarv; klassikatäht; sport; muusikakeskkool; ingeli; oboe; orkester
