EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,1,4,1,3,3,2,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
0,2,1,4,1,3,3,2,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
0,2,1,4,1,3,3,2,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
0,2,1,4,1,3,3,2,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
0,2,1,4,1,3,3,2,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
0,2,1,4,1,3,3,2,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
0,2,2,2,1,3,1,3,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
2,2,2,3,0,1,1,4,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
3,3,1,2,2,2,1,3,3,13,retk; liibanon; tootmisliin; skulptor; ukraina
4,2,2,3,2,3,2,3,2,13,retk; liibanon; tootmisliin; skulptor; ukraina
5,3,2,3,1,3,2,2,4,13,retk; liibanon; tootmisliin; skulptor; ukraina
