EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
7,9,5,9,3,8,9,7,6,13,muusikamaitse; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
