EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,5,5,5,5,4,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
6,7,5,5,5,5,4,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
6,7,6,5,5,5,4,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
6,7,6,5,5,5,4,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
6,7,6,5,5,5,4,7,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
6,5,6,5,5,5,6,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
7,6,6,5,5,7,6,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
4,6,6,5,5,6,6,8,4,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
8,5,6,9,5,7,7,7,4,11,agent; šokolaad; m; stuudio; plaat; raadio; ansambel; album; lugu; queen
7,6,4,9,6,7,8,7,4,11,plaat; agent; raadio; ansambel; album; šokolaad; m; stuudio; lugu; queen
8,8,5,5,7,7,8,7,3,11,plaat; agent; raadio; ansambel; album; šokolaad; stuudio; m; lugu; queen
