EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,1,1,2,3,1,4,3,13,film; furmanov; stalin; liit; prototüüp
3,4,1,1,2,3,1,4,3,13,film; furmanov; stalin; liit; prototüüp
3,4,1,1,2,3,1,4,3,13,film; furmanov; stalin; liit; prototüüp
3,4,1,1,2,3,1,4,3,13,film; furmanov; stalin; liit; prototüüp
3,4,1,2,2,3,1,4,3,13,film; furmanov; stalin; liit; prototüüp
3,3,1,2,2,3,2,4,3,13,film; furmanov; stalin; liit; prototüüp
4,3,3,3,2,5,3,4,3,13,furmanov; stalin; prototüüp; film; liit
3,3,2,3,2,5,2,3,3,13,furmanov; stalin; prototüüp; film; liit
4,3,2,2,3,3,4,3,3,13,furmanov; stalin; prototüüp; film; liit
4,3,3,3,3,3,3,3,3,13,film; furmanov; stalin; liit; prototüüp
4,2,2,4,3,3,2,3,3,13,furmanov; stalin; prototüüp; film; liit
