EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,4,3,3,3,6,6,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,4,3,3,3,7,6,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,4,3,3,3,7,6,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,4,3,3,3,6,7,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,4,3,3,3,6,7,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
7,6,6,4,3,3,3,6,7,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,6,6,4,3,5,3,6,7,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,6,6,6,3,5,2,9,7,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
9,7,5,6,3,5,3,8,7,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
8,7,6,4,3,5,4,9,7,13,laps; merike; käär; lasteraamat; lugema; vanem; õpetamine; keel; lapsepõlvemaa; lili
8,7,6,5,3,5,4,8,7,13,laps; merike; vanem; õpetamine; käär; keel; lasteraamat; lugema; lapsepõlvemaa; lili
