EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,5,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,5,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,5,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
6,9,6,8,9,8,8,8,4,16,orgaaniline; muistis; arheoloogiline; kaevamine; aivar; narvas; kriska; materjal; kultuur; keraamika
