EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,6,6,2,6,5,7,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
7,5,6,6,2,6,5,7,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
7,5,6,6,2,6,5,7,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
7,5,6,6,2,6,5,7,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
7,5,6,6,2,6,5,7,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
6,5,6,6,2,6,5,6,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
6,5,6,6,2,6,6,7,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; strateegia; uusorg
8,5,4,11,2,6,6,6,3,12,veetakistus; maailmameister; lauskmaa; jooksma; distants; strateegia; uusorg; margo; võistlus; naisekandmine; ulrich
6,5,8,8,3,6,6,5,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; lauskmaa; ulrich; jooksma; distants; strateegia; uusorg
8,6,8,5,3,6,7,6,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; distants; strateegia; uusorg
6,4,7,5,4,6,7,5,3,12,margo; veetakistus; võistlus; naisekandmine; maailmameister; jooksma; ulrich; distants; strateegia; uusorg
