EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,8,9,7,6,3,9,6,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,8,9,7,6,3,9,6,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,8,9,7,6,3,9,6,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,8,9,7,6,3,9,6,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,8,9,7,6,3,9,6,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,8,9,7,6,3,9,5,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
7,9,9,9,7,6,3,10,5,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
8,9,9,9,7,7,3,10,5,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
10,9,10,9,7,7,3,11,5,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; internetiteenus; kodanik; jälitamisreegel; poliitik; isikuvabadus; lasteporno; kristjan; tehnoloogia
10,9,11,8,7,7,3,11,5,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
9,10,11,8,6,7,3,11,9,14,vanglakaristus; pedofiilia; kommentaar; port; pakkuja; seadusalgatus; kodanik; internetiteenus; jälitamisreegel; isikuvabadus; poliitik; lasteporno; kristjan; tehnoloogia
