EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
11,11,8,10,8,9,9,11,10,12,saun; martin; vangla; põrand; nurk; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
