EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,4,4,5,4,3,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,4,2,4,4,5,4,3,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,4,2,4,4,5,4,3,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,4,2,4,4,5,4,3,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,4,3,4,4,5,4,4,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
5,4,3,4,4,5,4,4,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,4,4,4,4,4,5,4,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,4,6,4,3,4,5,4,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
4,2,4,3,2,5,4,4,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
5,2,5,4,2,5,3,6,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
5,2,4,3,2,4,5,5,1,10,stuudio; direktor; toimetus; režissöör; televisioon; saade
