EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
8,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
8,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
8,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
8,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
8,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,7,5,8,5,4,3,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,7,5,10,5,4,4,5,6,13,iraan; kana; uus; senjorii; televisioon; aasta; popiidol; üksinda; trump; kodu; jäähoki
6,7,5,8,7,6,4,5,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
6,7,5,8,7,6,4,6,6,13,iraan; aasta; kana; uus; popiidol; senjorii; üksinda; trump; televisioon; kodu; jäähoki
7,7,5,8,7,6,4,6,6,13,iraan; aasta; popiidol; uus; kana; senjorii; üksinda; trump; televisioon; kodu; jäähoki
