EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
11,13,8,9,6,9,9,8,9,16,vahur; tunnustus; tiisler; tarmo; tõnu; piret; peeter; lasmann; kriivan; tähelepanu; toomas; teenetemärk; enesekindlus
