EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,0,3,0,1,2,3,0,12,mait; agu; vaike; hing
3,2,0,3,0,1,2,3,0,12,mait; agu; vaike; hing
3,2,0,3,0,1,2,3,0,12,mait; agu; vaike; hing
3,2,0,3,0,1,2,3,0,12,mait; agu; vaike; hing
3,2,0,3,0,1,2,3,0,12,mait; agu; vaike; hing
3,2,0,3,0,1,2,3,0,12,mait; agu; vaike; hing
2,2,0,3,0,1,1,3,0,12,mait; agu; vaike; hing
1,2,0,2,0,2,0,3,0,12,mait; agu; vaike; hing
4,1,0,3,0,2,0,2,0,12,mait; agu; vaike; hing
4,1,0,3,1,2,0,2,0,12,mait; agu; vaike; hing
2,3,0,3,1,2,0,3,0,12,mait; agu; vaike; hing
