EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
9,7,7,5,8,8,6,7,6,10,aamen; peegel; kirik; mõtisklus; sisemus; inimlaps; palve; eneseteadvus; jumal; eneseareng
