EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
7,8,7,5,6,7,6,6,8,12,kannatlikkus; vaba; päästma; isa; hommikupalvus; patt; ori; jumal; sõna
