EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,2,1,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
4,5,2,1,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
4,5,2,1,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
4,5,2,1,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
4,5,2,1,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
4,5,2,1,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
5,5,2,2,0,3,3,5,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
8,5,3,2,0,3,3,4,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
6,4,5,2,1,4,4,4,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
6,6,5,4,1,3,3,3,4,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
7,7,5,4,1,4,3,4,5,13,käegalöömine; kiusatus; surmapate; kõrkus; loomupärane; hüpertroofia; mõõdukus; enesehinnang; aegunud; tarbijalik
