EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,4,6,9,3,2,5,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
7,8,4,6,9,3,2,6,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
7,8,4,6,9,3,2,6,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
7,8,4,6,9,3,2,6,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
7,8,4,6,9,3,2,6,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
6,8,5,6,9,3,3,5,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
7,8,4,6,9,4,3,6,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
6,9,6,3,9,3,4,8,5,11,leping; trahv; andmed; suhkrutrahv; karistus; ettevõte; aktsia; facebook; börs; kuritarvitamine; skandaal
6,9,6,6,9,5,5,9,5,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
7,9,7,6,8,5,5,9,5,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
8,9,6,7,9,4,5,7,5,11,leping; andmed; trahv; suhkrutrahv; karistus; ettevõte; aktsia; börs; facebook; kuritarvitamine; skandaal
