EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
6,6,4,5,2,4,4,5,5,10,kirik; ameerika; kogudus; tempel; ori; laulma; jumalateenistus
