EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,3,6,3,1,4,5,19,washington; kultuuripealinn; lahkumine; president; programm; kool; deckarty; balti; trump; edendus; tervis; amet
7,5,5,3,6,3,1,4,5,19,washington; kultuuripealinn; lahkumine; president; programm; kool; deckarty; balti; trump; edendus; tervis; amet
7,5,5,3,6,3,1,4,5,19,washington; kultuuripealinn; lahkumine; president; programm; kool; deckarty; balti; trump; edendus; tervis; amet
7,5,6,3,6,3,1,4,5,19,washington; kultuuripealinn; lahkumine; president; programm; kool; deckarty; balti; trump; edendus; tervis; amet
7,6,5,3,6,3,1,5,7,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
9,7,6,3,6,4,2,6,7,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
7,8,5,3,6,5,6,7,5,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
8,4,6,9,6,5,6,6,7,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
6,8,6,6,6,9,6,9,9,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
9,10,7,8,8,7,8,9,9,19,jüri; lahkumine; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
7,6,6,9,7,8,5,9,7,19,lahkumine; jüri; programm; luik; edendus; tervis; washington; kultuuripealinn; president; kool; deckarty; balti; trump; amet
