EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,8,4,7,6,3,6,3,7,11,strandberg; füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
