EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,1,2,2,2,2,2,2,11,kraav; polder; pauts; ekskavaator
3,2,1,2,2,2,2,2,2,11,kraav; polder; pauts; ekskavaator
3,2,1,2,2,2,2,2,2,11,kraav; polder; pauts; ekskavaator
3,2,1,2,2,2,2,2,2,11,kraav; polder; pauts; ekskavaator
3,3,1,2,2,2,2,2,2,11,kraav; polder; pauts; ekskavaator
3,2,1,2,2,3,2,2,2,11,kraav; polder; pauts; ekskavaator
2,3,1,2,2,3,3,2,2,11,kraav; polder; pauts; ekskavaator
3,1,1,2,2,2,2,2,2,11,kraav; polder; pauts; ekskavaator
3,2,2,2,2,3,3,2,1,11,kraav; polder; pauts; ekskavaator
1,1,1,2,1,1,3,2,2,11,kraav; polder; pauts; ekskavaator
1,1,1,2,1,3,2,2,2,11,kraav; polder; pauts; ekskavaator
