EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,7,6,7,4,3,3,4,4,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
3,7,6,7,4,3,3,4,5,14,võti; plaan; ehitaja; kollektiiv; kommunistlik; liit; partei
