EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,5,6,2,5,6,4,5,15,film; produtsent; eesti; eelarve; rahvusvaheline; formaat; kino; dokk; turg; sõprus; televisioon; dokumentaalfilm
3,6,5,6,2,5,6,4,6,15,film; produtsent; eesti; eelarve; rahvusvaheline; formaat; kino; dokk; turg; sõprus; televisioon; dokumentaalfilm
3,6,5,6,2,5,6,4,6,15,film; produtsent; eesti; eelarve; rahvusvaheline; formaat; kino; dokk; turg; sõprus; televisioon; dokumentaalfilm
3,6,6,6,2,5,6,4,6,15,film; produtsent; eesti; eelarve; rahvusvaheline; formaat; kino; dokk; turg; sõprus; televisioon; dokumentaalfilm
3,5,6,6,2,5,6,6,5,15,film; produtsent; eesti; eelarve; rahvusvaheline; formaat; kino; dokk; turg; sõprus; televisioon; dokumentaalfilm
4,7,7,6,2,4,6,8,5,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti
5,9,7,3,2,5,7,7,6,15,film; eelarve; rahvusvaheline; kino; dokk; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti
10,6,6,6,2,8,6,6,6,15,film; eelarve; rahvusvaheline; kino; dokk; turg; sõprus; televisioon; formaat; dokumentaalfilm; produtsent; eesti
8,6,6,6,2,6,5,7,3,15,film; eelarve; rahvusvaheline; dokk; kino; turg; sõprus; formaat; televisioon; dokumentaalfilm; produtsent; eesti
5,5,7,5,3,5,5,5,4,15,film; produtsent; eesti; eelarve; rahvusvaheline; formaat; kino; dokk; turg; sõprus; televisioon; dokumentaalfilm
7,4,6,5,3,3,5,5,3,15,produtsent; film; eesti; eelarve; rahvusvaheline; formaat; dokk; kino; turg; sõprus; televisioon; dokumentaalfilm
