EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,6,6,2,1,1,2,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
1,5,6,6,2,1,1,2,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
1,5,6,6,2,1,1,2,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
1,5,6,6,2,1,1,2,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,6,6,6,2,1,1,4,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
2,6,6,6,2,1,1,4,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
1,6,4,5,2,1,2,4,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,5,4,1,3,1,2,5,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
4,5,4,4,3,1,4,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
3,5,2,2,2,1,2,3,5,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
3,4,5,3,2,1,1,3,4,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
