EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,6,2,10,9,6,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,7,8,6,2,10,9,6,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,7,8,6,2,10,9,6,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,7,8,6,2,10,9,6,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,8,8,6,2,10,9,6,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,9,9,7,2,10,10,10,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,10,9,8,2,11,9,10,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
8,10,10,9,3,11,9,10,5,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,9,9,10,3,10,10,11,5,11,pedagoog; gerretz; solist; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
3,10,11,5,5,9,10,11,6,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
6,10,10,6,6,9,10,9,6,11,pedagoog; solist; gerretz; jüri; konservatoorium; mozart; kontsert; interpreet; dirigent; viiul; kammerorkester
