EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
6,7,6,5,4,7,6,6,5,12,ajutine; keelekasutaja; määrus; lauseliige; öeldistäis; lausemall; seisund
