EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,9,10,5,6,12,10,13,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,11,9,10,5,6,12,10,12,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,11,9,10,5,6,12,10,13,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,11,9,10,5,6,12,10,13,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,11,9,10,5,6,12,10,13,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,11,9,10,5,6,12,10,13,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
12,11,10,10,5,6,12,10,12,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
12,11,12,10,5,6,10,10,12,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
12,11,12,11,5,6,10,10,12,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
11,11,12,12,5,6,10,10,12,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
12,11,12,12,5,8,11,11,13,20,johannes; jumal; patriarh; troon; kolmas; kiri; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
