EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
5,5,3,3,3,6,8,5,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
