EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,1,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,0,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,0,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,0,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
3,0,3,0,2,1,4,1,0,11,polk; lõuna-eesti; tantsima; meloodia; tants; simman
