EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
5,4,7,1,0,7,10,5,4,20,johannes; jumal; patriarh; troon; kolmas; gregorius; efesos; sostumus; basiilika; kristus; sõnum; peetrus; luterlik
