EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,8,4,2,9,11,8,3,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,2,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,2,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,2,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,2,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,2,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,3,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,3,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,3,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,3,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
6,7,8,4,2,9,11,8,3,13,jumalik; autoriteet; bürokraatia; euroopa; käsuõpetus; liit; seadusriik; demokraatia; seadus; väärtus; vähemus; kristlik
