EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,5,2,2,3,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,5,2,2,4,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,5,2,2,4,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,5,2,2,4,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,5,2,2,4,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,5,2,2,3,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,5,2,2,3,3,3,3,13,kodu; senjorii; üksinda; kana; aasta; uus; trump; televisioon; popiidol
3,2,4,2,2,2,3,3,3,13,kodu; üksinda; popiidol; kana; aasta; uus; trump; televisioon; senjorii
3,2,4,2,2,2,2,3,3,13,kodu; üksinda; popiidol; kana; aasta; uus; trump; televisioon; senjorii
3,2,3,2,2,3,2,3,3,13,kodu; üksinda; popiidol; kana; aasta; uus; trump; televisioon; senjorii
3,2,3,2,2,3,2,3,3,13,kodu; üksinda; popiidol; kana; aasta; uus; trump; televisioon; senjorii
