EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,3,6,1,5,4,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
3,5,3,6,1,5,4,7,4,11,raudtee; talent; näitleja; jaan; kruusvall; provintsiteater; lühijutt; tädi; lahkumisavaldus; unimüts
