EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,6,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,3,2,5,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
2,3,3,2,2,5,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
3,3,3,2,2,5,2,3,3,14,martin; ilmar; tomusk; tuba; isik; uus; maja; pood; kõrvaline; suhkrusaiapidu
