EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
3,5,6,4,2,5,7,7,5,12,lõpp; lähedane; rahuaeg; jaanuar; heategevus; intensiivne; aasta; jõulurõõm; kokkuvõte; tegutsemisaeg
