EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,0,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,1,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
6,5,6,6,3,4,6,5,1,10,mälestus; ühislaulmine; traditsioon; meeskoor; laulukaar; noor; proov; repertuaar; laulupidu
