EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
3,3,3,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
3,3,3,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
3,3,3,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
3,3,3,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
3,3,2,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
3,3,2,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
2,3,3,0,1,1,1,1,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
2,3,3,0,1,1,1,2,2,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
1,3,2,1,1,1,1,2,2,12,tantsupidu; heinamaa; tänutunne; isetegemine; soomaa; metsamaa; agu
1,3,2,1,1,1,0,4,3,12,tantsupidu; tänutunne; soomaa; isetegemine; metsamaa; heinamaa; agu
