EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
5,3,7,5,2,5,6,4,2,16,kaevamine; aivar; kriska; orgaaniline; materjal; muistis; kultuur; arheoloogiline; keraamika
