EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
5,6,7,6,7,7,8,5,7,12,martin; saun; vangla; nurk; põrand; sidepidamine; kavalus; ämber; võitlus; edasitoimetamine; raamat; kiri
