EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
5,7,3,3,5,2,3,3,2,12,patt; jumal; ori; vaba; isa; sõna; päästma; kannatlikkus
