EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,5,3,1,5,7,5,4,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
4,3,5,3,1,5,7,5,5,10,kirikukell; sünnipäev; kirik; ameerika; tempel; kogudus; ori; laulma; jumalateenistus
