EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
4,4,6,3,1,7,4,5,5,16,lasmann; piret; peeter; kriivan; vahur; tunnustus; tiisler; tähelepanu; toomas; tarmo; teenetemärk; enesekindlus; tõnu
