EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,5,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
6,2,4,4,0,6,7,7,3,12,külalisesinemine; kultuuripäev; teatritrupp; vilimaa; ooperilavastus; ülo; ostrava; tšehhoslovakkia; sõprusteater
