EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,7,6,1,4,4,7,4,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,4,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,4,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,4,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,4,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
7,4,7,6,1,4,4,7,5,14,dvd-plaat; telejaam; kommentaar; port; internet; meediatarbimine; cbs; katsepolügoon; amazon; uudis; kristjan; tehnoloogia; reklaamitulu
