EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
4,4,10,6,0,7,7,8,4,12,teadusrakendus; teaduspreemia; akadeemia; teadlane; peaminister; saal; iseseisvuspäev; õpe; tulemus; tulevik; teadlaskollektiiv; elukestev
