EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,2,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
8,4,5,4,0,6,8,7,3,13,muusikamaitse; lapsepõlv; kümnevõistleja; mercury; andres; klassikaraadio; eesti; maailmameistrivõistlus; lemmiklaul; rada; olümpiamängud
