EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,5,7,0,2,3,7,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; füüsika; naan; teaduste; sõda
6,4,5,8,0,2,3,7,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; füüsika; naan; teaduste; sõda
6,4,5,8,0,3,3,7,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; füüsika; naan; teaduste; sõda
8,4,5,7,0,2,3,7,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; füüsika; naan; teaduste; sõda
8,4,5,6,2,5,4,7,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; füüsika; naan; teaduste; sõda
8,4,6,6,3,6,7,7,3,12,akadeemia; lapsepõlv; elustrateegia; füüsika; hüpotees; gustav; naan; teaduste; sõda
7,5,8,2,3,8,3,8,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; naan; füüsika; teaduste; sõda
5,7,9,2,5,6,5,7,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; naan; füüsika; teaduste; sõda
5,7,7,3,6,7,5,8,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; naan; füüsika; teaduste; sõda
5,4,5,2,7,8,6,6,3,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; naan; füüsika; teaduste; sõda
5,4,5,4,8,8,6,7,5,12,akadeemia; lapsepõlv; elustrateegia; gustav; hüpotees; naan; füüsika; teaduste; sõda
