EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,8,7,4,5,7,5,9,12,piiskopkond; ülikool; toomhärra; liivimaa; kirik; ordu; euroopa; vaimulik; tartu; katoliku
5,6,7,7,4,5,7,5,9,12,piiskopkond; ülikool; toomhärra; liivimaa; kirik; ordu; euroopa; vaimulik; tartu; katoliku
5,7,7,7,5,4,7,5,9,12,piiskopkond; ülikool; toomhärra; liivimaa; kirik; ordu; euroopa; vaimulik; tartu; katoliku
5,7,8,7,5,4,6,7,9,12,piiskopkond; ülikool; toomhärra; liivimaa; kirik; ordu; euroopa; vaimulik; tartu; katoliku
5,7,8,7,5,4,7,5,9,12,piiskopkond; ülikool; toomhärra; liivimaa; kirik; ordu; euroopa; vaimulik; tartu; katoliku
4,6,7,7,5,3,4,7,8,12,kirik; piiskopkond; ülikool; ordu; toomhärra; vaimulik; katoliku; liivimaa; tartu; euroopa
5,6,7,6,6,4,4,8,8,12,kirik; piiskopkond; ülikool; ordu; euroopa; vaimulik; toomhärra; liivimaa; tartu; katoliku
4,4,7,6,7,4,5,8,8,12,kirik; piiskopkond; ülikool; ordu; euroopa; toomhärra; vaimulik; liivimaa; tartu; katoliku
5,6,8,5,9,4,3,8,7,12,piiskopkond; ülikool; toomhärra; katoliku; liivimaa; kirik; ordu; vaimulik; tartu; euroopa
4,3,9,6,8,5,3,5,8,12,kirik; piiskopkond; ülikool; ordu; euroopa; toomhärra; vaimulik; liivimaa; tartu; katoliku
4,4,8,7,6,6,3,7,6,12,kirik; piiskopkond; ülikool; ordu; euroopa; toomhärra; vaimulik; liivimaa; tartu; katoliku
