EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,5,5,6,4,1,6,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,5,5,6,4,1,6,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,6,5,6,4,2,6,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
6,6,6,5,6,4,3,6,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,6,5,6,4,2,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
6,6,6,5,6,5,3,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
6,6,6,5,6,5,3,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,6,6,6,6,4,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
6,5,6,6,6,5,4,6,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
6,6,6,5,6,5,6,5,6,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
5,6,6,5,6,5,6,6,4,11,facebook; trahv; suhkrutrahv; karistus; aktsia; andmete
