EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
8,8,8,8,8,8,8,8,8,16,kriska; narva; orgaaniline; keraamika; aivar; materjal; savinõu; kiviaja
