EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,9,5,6,7,7,5,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
7,9,5,9,5,6,7,7,5,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
7,9,5,9,5,6,8,7,5,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
7,9,5,9,5,9,7,7,5,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
5,9,5,10,5,10,8,7,6,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
6,7,7,10,5,9,7,6,6,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
7,7,8,8,5,7,7,6,6,13,juhansoni; rahva; reisid; ilmar; soome; talve; rootsi; ekspeditsioon; etnoloog; maapagu
5,6,8,6,6,6,9,7,6,13,juhansoni; ilmar; talve; rootsi; ekspeditsioon; maapagu; rahva; reisid; soome; etnoloog
5,5,8,5,7,6,7,6,7,13,juhansoni; rahva; reisid; ilmar; soome; talve; rootsi; ekspeditsioon; etnoloog; maapagu
5,6,8,5,7,5,6,6,7,13,juhansoni; rahva; reisid; ilmar; soome; talve; rootsi; ekspeditsioon; etnoloog; maapagu
5,5,8,5,6,5,7,6,7,13,juhansoni; rahva; reisid; ilmar; soome; talve; rootsi; ekspeditsioon; etnoloog; maapagu
