EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,6,3,9,8,5,5,6,7,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
10,6,4,9,8,5,5,7,7,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
10,5,5,11,7,6,5,8,7,19,margaret; prius; robert; kindlusloss; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
10,5,5,8,6,7,6,9,7,19,prius; robert; kindlusloss; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
11,6,5,8,6,6,7,10,7,19,prius; robert; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
11,7,8,8,6,9,8,10,7,19,prius; robert; palee; kindlusloss; sõda; šotimaa; edinburghi; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
9,6,5,8,6,10,7,7,7,19,prius; robert; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
9,6,6,8,7,9,6,7,7,19,prius; robert; palee; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
6,5,7,9,7,5,6,6,5,19,prius; robert; palee; kindlusloss; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; sõjamemoriaal; stewart
5,7,7,8,8,5,5,6,5,19,prius; robert; palee; kindlusloss; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; stewart
5,6,9,8,8,7,7,6,5,19,prius; robert; palee; kindlusloss; sõda; šotimaa; edinburghi; kroon; marie; püha; rahvuslik; kuninglik; stewart
