EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,10,5,7,5,9,5,10,5,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
7,10,5,7,5,8,5,9,5,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
9,10,6,7,5,9,5,10,5,14,kirjanik; 40; hainsalu; keel; riigitegelane; vägi; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
8,10,5,6,5,10,5,11,5,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
9,10,8,6,5,10,4,11,5,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
8,9,7,7,5,10,6,9,5,14,kirjanik; 40; hainsalu; keel; riigitegelane; vägi; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
8,8,8,4,5,7,7,9,6,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; üheksavägine; eesti; elulugu; sõna
7,7,7,7,6,9,8,8,7,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
7,6,7,7,4,5,6,9,7,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
7,8,4,7,6,6,7,8,6,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
7,8,8,9,5,5,5,7,6,14,kirjanik; 40; hainsalu; keel; vägi; riigitegelane; lehte; luuletaja; eesti; üheksavägine; elulugu; sõna
