EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,3,6,5,5,5,5,5,11,lauluväljak; vanarahvas; kiik; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,5,4,6,5,5,5,5,5,11,lauluväljak; vanarahvas; kiik; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,6,4,6,5,5,5,6,5,11,lauluväljak; vanarahvas; kiik; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,5,5,6,5,5,5,7,5,11,lauluväljak; vanarahvas; kiik; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,5,5,6,4,5,5,7,5,11,lauluväljak; vanarahvas; kiik; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,5,3,6,6,4,5,7,5,11,lauluväljak; vanarahvas; kiik; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
4,6,4,3,6,5,5,4,6,11,kiik; lauluväljak; vanarahvas; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,4,6,5,4,4,5,4,4,11,kiik; lauluväljak; vanarahvas; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,4,4,5,5,4,1,4,5,11,kiik; lauluväljak; vanarahvas; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,4,3,5,5,4,4,3,6,11,kiik; lauluväljak; vanarahvas; õlletegu; jaanipidu; looduse; jaanituli; noorsoofestival
5,5,4,5,5,3,3,4,4,11,kiik; lauluväljak; vanarahvas; õlletegu; jaanipidu; looduse; noorsoofestival; jaanituli
