EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,8,10,2,8,8,8,9,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
11,8,8,10,2,8,8,8,9,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
10,7,8,10,2,8,8,8,9,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
10,8,10,10,2,8,8,8,7,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
10,8,10,9,2,8,8,7,7,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
10,9,11,9,3,9,9,7,6,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keel; keelepoliitika; haridus
8,8,10,9,4,9,8,8,7,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; haridus; keel
10,9,6,10,4,9,8,9,7,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; haridus; keel
7,9,9,9,5,8,9,9,7,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; keel; haridus
6,10,9,9,8,8,10,7,9,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; keelepoliitika; haridus; keel
5,9,10,8,9,9,9,8,9,16,ülikool; rahvusvaheline; õpetaja; arengukava; haridus-; eesti; põhialused; sotsiaalmeedia; haridus; keelepoliitika; keel
