EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,7,4,2,4,5,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,6,5,7,5,3,4,6,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,6,5,7,5,3,5,6,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,6,5,7,5,4,4,6,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,7,5,7,6,4,4,6,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
6,7,6,8,5,4,5,5,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
4,5,6,7,5,3,4,4,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
6,7,5,5,6,4,3,6,7,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
5,7,5,5,5,7,4,3,7,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
6,7,6,4,6,5,4,2,7,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
6,8,5,4,6,6,6,6,8,14,välisministrite; koostöö; konverents; sõda; rahulolematus; partei; valitsus; kommunistlik; pätsi
