EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,8,5,4,3,4,4,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
7,6,7,8,4,4,3,4,4,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
7,6,7,8,4,4,3,4,4,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
6,5,7,7,4,4,3,6,4,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
5,6,7,7,4,3,3,6,4,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
6,6,7,7,5,3,3,5,4,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,5,8,6,6,5,5,7,5,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
5,6,7,6,4,3,4,5,5,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,5,8,7,4,3,7,5,7,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,4,8,7,3,4,6,6,7,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,4,8,7,4,5,7,4,7,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
