EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,9,9,5,8,8,7,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
9,7,9,9,5,8,8,7,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
9,7,9,9,7,9,8,7,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
9,7,10,9,7,9,9,7,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
9,7,10,9,7,9,8,8,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
9,8,10,9,7,8,7,8,9,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
10,9,10,8,8,8,10,9,9,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,9,10,9,9,9,7,9,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,9,8,8,9,9,9,9,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
8,10,10,8,9,10,9,8,8,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,10,9,8,7,10,8,9,10,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
