EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,2,3,2,2,3,1,13,esselink; solex; elizabeth; süntesaator
4,4,2,2,3,2,2,3,1,13,solex; süntesaator; esselink; elizabeth
4,4,2,2,3,2,2,3,1,13,solex; süntesaator; esselink; elizabeth
4,4,2,3,3,3,2,4,1,13,solex; süntesaator; esselink; elizabeth
4,3,2,4,4,3,2,4,2,13,esselink; solex; elizabeth; süntesaator
4,3,4,4,4,3,3,4,3,13,esselink; solex; elizabeth; süntesaator
3,3,4,4,4,4,3,4,3,13,esselink; solex; elizabeth; süntesaator
1,3,4,4,3,3,4,3,3,13,esselink; solex; elizabeth; süntesaator
0,2,4,4,3,4,4,3,3,13,esselink; solex; elizabeth; süntesaator
0,2,4,4,3,2,4,2,4,13,esselink; solex; elizabeth; süntesaator
0,3,4,4,3,3,4,2,3,13,esselink; solex; elizabeth; süntesaator
