EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,6,9,7,7,8,7,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
10,8,5,9,7,7,7,7,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
10,9,8,9,7,8,7,8,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
10,9,9,9,8,8,7,8,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
9,6,8,10,6,8,8,8,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
11,9,6,9,7,6,9,8,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
10,9,9,8,8,10,8,8,8,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; merivoo-parro; maarja; muusika; kaks
10,8,8,7,10,7,7,10,10,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
9,7,7,8,10,7,8,9,10,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
9,10,8,10,10,6,6,7,10,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
8,10,8,8,9,5,7,7,11,14,bänd; tmw; laul; 2015; eesti; klassikokkutulek; draiv; raadio; ansambel; muusika; maarja; merivoo-parro; kaks
